¦  (\u00a6)  8961 := BROKEN BAR
§  (\u00a7)    35 := SECTION SIGN
«  (\u00ab)  1088 := LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
»  (\u00bb)  1088 := RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
Ê  (\u00ca)     2 := LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ü  (\u00dc)     3 := LATIN CAPITAL LETTER U WITH DIAERESIS
à  (\u00e0)    38 := LATIN SMALL LETTER A WITH GRAVE
á  (\u00e1)    48 := LATIN SMALL LETTER A WITH ACUTE
â  (\u00e2)  1287 := LATIN SMALL LETTER A WITH CIRCUMFLEX
ä  (\u00e4)    22 := LATIN SMALL LETTER A WITH DIAERESIS
æ  (\u00e6)     1 := LATIN SMALL LETTER AE
ç  (\u00e7)     4 := LATIN SMALL LETTER C WITH CEDILLA
è  (\u00e8)     1 := LATIN SMALL LETTER E WITH GRAVE
é  (\u00e9)    58 := LATIN SMALL LETTER E WITH ACUTE
ê  (\u00ea)   370 := LATIN SMALL LETTER E WITH CIRCUMFLEX
ë  (\u00eb)    58 := LATIN SMALL LETTER E WITH DIAERESIS
ì  (\u00ec)     2 := LATIN SMALL LETTER I WITH GRAVE
í  (\u00ed)     4 := LATIN SMALL LETTER I WITH ACUTE
î  (\u00ee)   123 := LATIN SMALL LETTER I WITH CIRCUMFLEX
ï  (\u00ef)     3 := LATIN SMALL LETTER I WITH DIAERESIS
ò  (\u00f2)     6 := LATIN SMALL LETTER O WITH GRAVE
ó  (\u00f3)    34 := LATIN SMALL LETTER O WITH ACUTE
ô  (\u00f4)   227 := LATIN SMALL LETTER O WITH CIRCUMFLEX
ö  (\u00f6)    18 := LATIN SMALL LETTER O WITH DIAERESIS
ù  (\u00f9)    87 := LATIN SMALL LETTER U WITH GRAVE
ú  (\u00fa)    10 := LATIN SMALL LETTER U WITH ACUTE
û  (\u00fb)   252 := LATIN SMALL LETTER U WITH CIRCUMFLEX
ü  (\u00fc)    30 := LATIN SMALL LETTER U WITH DIAERESIS
Ā  (\u0100)     1 := LATIN CAPITAL LETTER A WITH MACRON
Ć  (\u0106)    23 := LATIN CAPITAL LETTER C WITH ACUTE
ć  (\u0107)    57 := LATIN SMALL LETTER C WITH ACUTE
ď  (\u010f)     1 := LATIN SMALL LETTER D WITH CARON
ĕ  (\u0115)    19 := LATIN SMALL LETTER E WITH BREVE
ī  (\u012b)     2 := LATIN SMALL LETTER I WITH MACRON
ĭ  (\u012d)    30 := LATIN SMALL LETTER I WITH BREVE
ł  (\u0142)     2 := LATIN SMALL LETTER L WITH STROKE
Ō  (\u014c)     1 := LATIN CAPITAL LETTER O WITH MACRON
œ  (\u0153)    16 := LATIN SMALL LIGATURE OE
ś  (\u015b)    34 := LATIN SMALL LETTER S WITH ACUTE
ť  (\u0165)     1 := LATIN SMALL LETTER T WITH CARON
Ū  (\u016a)     1 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)     1 := LATIN SMALL LETTER U WITH MACRON
ů  (\u016f)    18 := LATIN SMALL LETTER U WITH RING ABOVE
ź  (\u017a)     4 := LATIN SMALL LETTER Z WITH ACUTE
ʃ  (\u0283)    46 := LATIN SMALL LETTER ESH
ʽ  (\u02bd)    35 := MODIFIER LETTER REVERSED COMMA
̀  (\u0300)     6 := COMBINING GRAVE ACCENT
́  (\u0301)    91 := COMBINING ACUTE ACCENT
̂  (\u0302)     9 := COMBINING CIRCUMFLEX ACCENT
̃  (\u0303)    14 := COMBINING TILDE
̄  (\u0304)     4 := COMBINING MACRON
̈  (\u0308)     4 := COMBINING DIAERESIS
̊  (\u030a)     6 := COMBINING RING ABOVE
