¦  (\u00a6) 280833 := BROKEN BAR
¯  (\u00af)    53 := MACRON
°  (\u00b0) 55432 := DEGREE SIGN
Â  (\u00c2)    11 := LATIN CAPITAL LETTER A WITH CIRCUMFLEX
à  (\u00e0)     2 := LATIN SMALL LETTER A WITH GRAVE
á  (\u00e1)   103 := LATIN SMALL LETTER A WITH ACUTE
â  (\u00e2)  4138 := LATIN SMALL LETTER A WITH CIRCUMFLEX
ä  (\u00e4)     9 := LATIN SMALL LETTER A WITH DIAERESIS
ç  (\u00e7)     1 := LATIN SMALL LETTER C WITH CEDILLA
é  (\u00e9)    43 := LATIN SMALL LETTER E WITH ACUTE
ê  (\u00ea)   326 := LATIN SMALL LETTER E WITH CIRCUMFLEX
ë  (\u00eb)    35 := LATIN SMALL LETTER E WITH DIAERESIS
í  (\u00ed)    32 := LATIN SMALL LETTER I WITH ACUTE
î  (\u00ee)   141 := LATIN SMALL LETTER I WITH CIRCUMFLEX
ï  (\u00ef)    15 := LATIN SMALL LETTER I WITH DIAERESIS
ð  (\u00f0)     1 := LATIN SMALL LETTER ETH
ñ  (\u00f1)  7347 := LATIN SMALL LETTER N WITH TILDE
ó  (\u00f3)    34 := LATIN SMALL LETTER O WITH ACUTE
ô  (\u00f4)   225 := LATIN SMALL LETTER O WITH CIRCUMFLEX
ö  (\u00f6)    14 := LATIN SMALL LETTER O WITH DIAERESIS
ù  (\u00f9)     1 := LATIN SMALL LETTER U WITH GRAVE
ú  (\u00fa)    51 := LATIN SMALL LETTER U WITH ACUTE
û  (\u00fb)    32 := LATIN SMALL LETTER U WITH CIRCUMFLEX
ü  (\u00fc)     3 := LATIN SMALL LETTER U WITH DIAERESIS
ý  (\u00fd)     6 := LATIN SMALL LETTER Y WITH ACUTE
Ā  (\u0100) 12628 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 77080 := LATIN SMALL LETTER A WITH MACRON
ă  (\u0103)    75 := LATIN SMALL LETTER A WITH BREVE
č  (\u010d)     3 := LATIN SMALL LETTER C WITH CARON
ē  (\u0113)    36 := LATIN SMALL LETTER E WITH MACRON
ĕ  (\u0115)    30 := LATIN SMALL LETTER E WITH BREVE
ė  (\u0117)     1 := LATIN SMALL LETTER E WITH DOT ABOVE
Ī  (\u012a)    49 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)  7693 := LATIN SMALL LETTER I WITH MACRON
ĭ  (\u012d)    12 := LATIN SMALL LETTER I WITH BREVE
ō  (\u014d)    25 := LATIN SMALL LETTER O WITH MACRON
ŏ  (\u014f)     1 := LATIN SMALL LETTER O WITH BREVE
Ś  (\u015a) 26576 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b) 19034 := LATIN SMALL LETTER S WITH ACUTE
š  (\u0161)     6 := LATIN SMALL LETTER S WITH CARON
Ū  (\u016a)    32 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)  2657 := LATIN SMALL LETTER U WITH MACRON
ŭ  (\u016d)    39 := LATIN SMALL LETTER U WITH BREVE
ů  (\u016f)     4 := LATIN SMALL LETTER U WITH RING ABOVE
ŷ  (\u0177)     2 := LATIN SMALL LETTER Y WITH CIRCUMFLEX
ż  (\u017c)     8 := LATIN SMALL LETTER Z WITH DOT ABOVE
ž  (\u017e)     3 := LATIN SMALL LETTER Z WITH CARON
ȩ  (\u0229)     1 := LATIN SMALL LETTER E WITH CEDILLA
˘  (\u02d8)    48 := BREVE
