¦  (\u00a6) 55390 := BROKEN BAR
§  (\u00a7)    13 := SECTION SIGN
­  (\u00ad)     1 := SOFT HYPHEN
¯  (\u00af)   943 := MACRON
°  (\u00b0) 21110 := DEGREE SIGN
µ  (\u00b5)     1 := MICRO SIGN
Æ  (\u00c6)    64 := LATIN CAPITAL LETTER AE
Ç  (\u00c7)     1 := LATIN CAPITAL LETTER C WITH CEDILLA
×  (\u00d7)    21 := MULTIPLICATION SIGN
ß  (\u00df)     3 := LATIN SMALL LETTER SHARP S
à  (\u00e0)    18 := LATIN SMALL LETTER A WITH GRAVE
á  (\u00e1)    20 := LATIN SMALL LETTER A WITH ACUTE
â  (\u00e2)    74 := LATIN SMALL LETTER A WITH CIRCUMFLEX
ä  (\u00e4)    12 := LATIN SMALL LETTER A WITH DIAERESIS
æ  (\u00e6)   293 := LATIN SMALL LETTER AE
ç  (\u00e7)     1 := LATIN SMALL LETTER C WITH CEDILLA
è  (\u00e8)     2 := LATIN SMALL LETTER E WITH GRAVE
é  (\u00e9)    49 := LATIN SMALL LETTER E WITH ACUTE
ê  (\u00ea)    72 := LATIN SMALL LETTER E WITH CIRCUMFLEX
ë  (\u00eb)    17 := LATIN SMALL LETTER E WITH DIAERESIS
í  (\u00ed)     5 := LATIN SMALL LETTER I WITH ACUTE
î  (\u00ee)    25 := LATIN SMALL LETTER I WITH CIRCUMFLEX
ï  (\u00ef)    36 := LATIN SMALL LETTER I WITH DIAERESIS
ñ  (\u00f1)  5562 := LATIN SMALL LETTER N WITH TILDE
ò  (\u00f2)     5 := LATIN SMALL LETTER O WITH GRAVE
ó  (\u00f3)    15 := LATIN SMALL LETTER O WITH ACUTE
ô  (\u00f4)    74 := LATIN SMALL LETTER O WITH CIRCUMFLEX
ö  (\u00f6)     9 := LATIN SMALL LETTER O WITH DIAERESIS
ù  (\u00f9)    47 := LATIN SMALL LETTER U WITH GRAVE
ú  (\u00fa)    14 := LATIN SMALL LETTER U WITH ACUTE
û  (\u00fb)    53 := LATIN SMALL LETTER U WITH CIRCUMFLEX
ü  (\u00fc)    28 := LATIN SMALL LETTER U WITH DIAERESIS
ý  (\u00fd)     8 := LATIN SMALL LETTER Y WITH ACUTE
Ā  (\u0100)  2353 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 157486 := LATIN SMALL LETTER A WITH MACRON
ă  (\u0103)    26 := LATIN SMALL LETTER A WITH BREVE
ē  (\u0113)    26 := LATIN SMALL LETTER E WITH MACRON
ĕ  (\u0115)    14 := LATIN SMALL LETTER E WITH BREVE
Ī  (\u012a)   132 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b) 47378 := LATIN SMALL LETTER I WITH MACRON
ĭ  (\u012d)    39 := LATIN SMALL LETTER I WITH BREVE
