char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
 	\u00a0	5	NO-BREAK SPACE	pwg   5				
£	\u00a3	24	POUND SIGN	skd   24				
¤	\u00a4	3403	CURRENCY SIGN	md    3388	pe    1	pwg   2	skd   12	
¦	\u00a6	1258777	BROKEN BAR	acc   48861	ae    11360	ap90  31721	ben   17316	bhs   17839
				bop   8961	bor   24608	bur   19775	cae   40068	ccs   30026
				gra   10787	gst   6780	ieg   7907	inm   12787	krm   2061
				lan   4945	mci   2643	md    20749	mw    280833	mw72  55390
				mwe   32378	pe    8799	pgn   485	pui   17512	pw    135787
				pwg   122743	sch   29114	shs   47313	skd   42196	snp   453
				stc   24574	vcp   48382	vei   3834	wil   44578	yat   45212
§	\u00a7	28694	SECTION SIGN	acc   1	ap90  1	bhs   734	bop   35	bor   16
				bur   129	inm   27724	mci   1	mw72  13	pgn   22
				pw    1	pwg   14	sch   3		
ª	\u00aa	2	FEMININE ORDINAL INDICATOR	sch   2				
«	\u00ab	1240	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	bop   1088	pw    55	pwg   59	stc   38	
­	\u00ad	1	SOFT HYPHEN	mw72  1				
¯	\u00af	3110	MACRON	acc   2	bhs   1	bur   4	gst   61	lan   1
				mw    53	mw72  943	mwe   1	pw    2	pwg   2039
				skd   3				
°	\u00b0	253319	DEGREE SIGN	ae    246	bhs   22189	bop   86	bur   12	cae   9849
				ccs   6679	gra   1	md    4825	mw    55432	mw72  1
				pw    21456	pwg   83347	sch   24446	shs   1	stc   24742
				vei   2	wil   5			
±	\u00b1	535	PLUS-MINUS SIGN	cae   316	md    218	pwg   1		
²	\u00b2	45209	SUPERSCRIPT TWO	md    25	pw    486	wil   44698		
³	\u00b3	1	SUPERSCRIPT THREE	sch   1				
´	\u00b4	1	ACUTE ACCENT	pwg   1				
µ	\u00b5	1	MICRO SIGN	mw72  1				
¹	\u00b9	502	SUPERSCRIPT ONE	md    500	pwg   2			
º	\u00ba	45578	MASCULINE ORDINAL INDICATOR	acc   46	ap90  4050	ben   506	gst   205	ieg   45
				inm   19532	krm   1	mci   65	mw72  21109	pwg   4
				shs   3	vei   10	yat   2		
»	\u00bb	1231	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	bop   1079	pw    55	pwg   59	stc   38	
¼	\u00bc	3	VULGAR FRACTION ONE QUARTER	pwg   2	wil   1			
½	\u00bd	22	VULGAR FRACTION ONE HALF	bor   1	md    6	pe    1	pwg   10	sch   1
				wil   3				
¾	\u00be	1	VULGAR FRACTION THREE QUARTERS	bor   1				
À	\u00c0	13	LATIN CAPITAL LETTER A WITH GRAVE	bur   11	mwe   2			
Á	\u00c1	1	LATIN CAPITAL LETTER A WITH ACUTE	pwg   1				
Â	\u00c2	11	LATIN CAPITAL LETTER A WITH CIRCUMFLEX	mw    11				
Ä	\u00c4	78	LATIN CAPITAL LETTER A WITH DIAERESIS	ccs   41	sch   37			
Æ	\u00c6	216	LATIN CAPITAL LETTER AE	ap90  3	ben   9	bor   8	gst   6	inm   1
				mw72  64	shs   47	wil   44	yat   34	
Ç	\u00c7	169	LATIN CAPITAL LETTER C WITH CEDILLA	mw72  1	pwg   167	sch   1		
É	\u00c9	25	LATIN CAPITAL LETTER E WITH ACUTE	mwe   8	pwg   1	stc   14	vei   2	
Ê	\u00ca	25	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	bur   2	pwg   2	stc   21		
Ë	\u00cb	2	LATIN CAPITAL LETTER E WITH DIAERESIS	pwg   2				
Í	\u00cd	1	LATIN CAPITAL LETTER I WITH ACUTE	sch   1				
Î	\u00ce	1	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	pwg   1				
Ñ	\u00d1	15855	LATIN CAPITAL LETTER N WITH TILDE	ben   82	bhs   1	md    31	pe    199	pw    923
				pwg   14494	shs   2	stc   92	wil   31	
Ô	\u00d4	1	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	mwe   1				
Ö	\u00d6	212	LATIN CAPITAL LETTER O WITH DIAERESIS	ccs   35	pw    8	pwg   129	sch   40	
×	\u00d7	65	MULTIPLICATION SIGN	gra   1	ieg   1	inm   1	krm   1	mw72  21
				pe    4	pui   7	skd   2	stc   21	vei   6
Ú	\u00da	1	LATIN CAPITAL LETTER U WITH ACUTE	sch   1				
Ü	\u00dc	1135	LATIN CAPITAL LETTER U WITH DIAERESIS	bop   3	ccs   195	pw    414	pwg   359	sch   127
				vei   37				
ß	\u00df	3342	LATIN SMALL LETTER SHARP S	ccs   2055	mw72  3	pw    1	sch   1283	
à	\u00e0	10292	LATIN SMALL LETTER A WITH GRAVE	ben   1	bhs   27	bop   39	bur   3187	gra   14
				gst   1	lan   34	mw    2	mw72  18	pw    1
				pwg   5	sch   18	snp   1	stc   6943	vei   1
á	\u00e1	74158	LATIN SMALL LETTER A WITH ACUTE	ben   28	bhs   7	bop   48	gra   62663	ieg   1
				inm   1029	lan   3728	mci   1	md    5579	mw    103
				mw72  20	pwg   12	sch   934	vei   5	
â	\u00e2	8234	LATIN SMALL LETTER A WITH CIRCUMFLEX	bhs   4	bop   1287	bur   1182	md    162	mw    4138
				mw72  74	pwg   5	sch   5	stc   1372	vei   5
ã	\u00e3	5	LATIN SMALL LETTER A WITH TILDE	gra   5				
ä	\u00e4	65801	LATIN SMALL LETTER A WITH DIAERESIS	acc   45	ben   15	bhs   238	bop   22	ccs   5147
				gra   4659	lan   13	mw    9	mw72  12	pw    24059
				pwg   28819	sch   2534	snp   2	vei   220	wil   7
æ	\u00e6	948	LATIN SMALL LETTER AE	ae    12	ap90  22	ben   50	bop   1	bor   1
				gst   54	inm   7	lan   11	mw72  293	mwe   3
				shs   230	vei   32	wil   163	yat   69	
ç	\u00e7	713	LATIN SMALL LETTER C WITH CEDILLA	bhs   2	bop   5	bur   246	mw    1	mw72  1
				pw    1	pwg   2	stc   453	vei   2	
è	\u00e8	9397	LATIN SMALL LETTER E WITH GRAVE	ap90  5	bhs   19	bop   2	bur   3416	lan   1
				mw72  2	pwg   1	sch   1	stc   5948	vei   2
é	\u00e9	76045	LATIN SMALL LETTER E WITH ACUTE	ap90  5	ben   12	bhs   561	bop   57	bur   23462
				gra   6116	gst   5	ieg   1	lan   426	md    292
				mw    43	mw72  49	pw    1	pwg   344	sch   45
				snp   7	stc   44458	vei   161		
ê	\u00ea	7255	LATIN SMALL LETTER E WITH CIRCUMFLEX	ben   48	bhs   16	bop   370	bur   2306	lan   1
				md    7	mw    326	mw72  72	pw    5	pwg   20
				stc   4084				
ë	\u00eb	222	LATIN SMALL LETTER E WITH DIAERESIS	ben   5	bhs   4	bop   58	bur   61	inm   4
				lan   5	mw    35	mw72  17	pw    1	pwg   6
				snp   1	stc   8	wil   17		
ì	\u00ec	2	LATIN SMALL LETTER I WITH GRAVE	lan   2				
í	\u00ed	21035	LATIN SMALL LETTER I WITH ACUTE	ben   16	bop   4	gra   19691	lan   426	md    733
				mw    32	mw72  5	pwg   1	sch   126	vei   1
î	\u00ee	2499	LATIN SMALL LETTER I WITH CIRCUMFLEX	bhs   4	bop   124	bur   750	cae   1	lan   2
				md    29	mw    141	mw72  25	pwg   2	stc   1421
ï	\u00ef	412	LATIN SMALL LETTER I WITH DIAERESIS	acc   2	ben   2	bop   3	bur   122	gra   4
				ieg   3	lan   1	mw    15	mw72  36	pwg   2
				sch   12	snp   1	stc   171	wil   38	
ð	\u00f0	26	LATIN SMALL LETTER ETH	lan   25	mw    1			
ñ	\u00f1	43894	LATIN SMALL LETTER N WITH TILDE	acc   3041	ap90  121	ben   6282	bhs   3988	bor   2
