char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
А	\u0410	1	CYRILLIC CAPITAL LETTER A	pwg   1				
Б	\u0411	1	CYRILLIC CAPITAL LETTER BE	pwg   1				
К	\u041a	1	CYRILLIC CAPITAL LETTER KA	pwg   1				
М	\u041c	1	CYRILLIC CAPITAL LETTER EM	pwg   1				
О	\u041e	1	CYRILLIC CAPITAL LETTER O	pwg   1				
П	\u041f	1	CYRILLIC CAPITAL LETTER PE	pwg   1				
а	\u0430	59	CYRILLIC SMALL LETTER A	pw    1	pwg   58			
б	\u0431	9	CYRILLIC SMALL LETTER BE	pw    1	pwg   8			
в	\u0432	13	CYRILLIC SMALL LETTER VE	pwg   13				
г	\u0433	25	CYRILLIC SMALL LETTER GHE	pw    1	pwg   24			
д	\u0434	25	CYRILLIC SMALL LETTER DE	pwg   25				
е	\u0435	11	CYRILLIC SMALL LETTER IE	pwg   11				
ж	\u0436	5	CYRILLIC SMALL LETTER ZHE	pwg   5				
з	\u0437	8	CYRILLIC SMALL LETTER ZE	pwg   8				
и	\u0438	37	CYRILLIC SMALL LETTER I	pwg   37				
й	\u0439	8	CYRILLIC SMALL LETTER SHORT I	pwg   8				
к	\u043a	21	CYRILLIC SMALL LETTER KA	pwg   21				
л	\u043b	20	CYRILLIC SMALL LETTER EL	pwg   20				
м	\u043c	15	CYRILLIC SMALL LETTER EM	pwg   15				
н	\u043d	25	CYRILLIC SMALL LETTER EN	pwg   25				
о	\u043e	39	CYRILLIC SMALL LETTER O	pw    1	pwg   38			
п	\u043f	3	CYRILLIC SMALL LETTER PE	pwg   3				
р	\u0440	46	CYRILLIC SMALL LETTER ER	pw    1	pwg   45			
с	\u0441	23	CYRILLIC SMALL LETTER ES	pwg   23				
т	\u0442	42	CYRILLIC SMALL LETTER TE	pw    1	pwg   41			
у	\u0443	11	CYRILLIC SMALL LETTER U	pwg   11				
х	\u0445	8	CYRILLIC SMALL LETTER HA	pwg   8				
ч	\u0447	5	CYRILLIC SMALL LETTER CHE	pwg   5				
ш	\u0448	5	CYRILLIC SMALL LETTER SHA	pwg   5				
ъ	\u044a	39	CYRILLIC SMALL LETTER HARD SIGN	pwg   39				
ы	\u044b	15	CYRILLIC SMALL LETTER YERU	pw    1	pwg   14			
ь	\u044c	17	CYRILLIC SMALL LETTER SOFT SIGN	pw    1	pwg   16			
я	\u044f	4	CYRILLIC SMALL LETTER YA	pwg   4				
ѣ	\u0463	11	CYRILLIC SMALL LETTER YAT	pwg   11				
ѥ	\u0465	1	CYRILLIC SMALL LETTER IOTIFIED E	pwg   1				
ѧ	\u0467	5	CYRILLIC SMALL LETTER LITTLE YUS	pwg   5				
ѫ	\u046b	8	CYRILLIC SMALL LETTER BIG YUS	pwg   8				
ꙑ	\ua651	1	CYRILLIC SMALL LETTER YERU WITH BACK YER	pwg   1				
ꙗ	\ua657	2	CYRILLIC SMALL LETTER IOTIFIED A	pwg   2				
