<L>28<pc>0037,a<k1>aMsaBAra<k2>aMsa(se)BAra
<L>29<pc>0037,a<k1>aMsaBArika<k2>aMsa(se)BArika
<L>133<pc>0043,a<k1>akzapawala<k2>akza(kzi)pawala
<L>146<pc>0044,b<k1>akzaracaYcu<k2>akzara(cu)caYcu
<L>348<pc>0061,b<k1>agnizvAtta<k2>agnizvA(svA)tta
<L>423<pc>0067,b<k1>agru<k2>agru(grU)
<L>427<pc>0067,b<k1>agrediDizu<k2>agrediDizu(zU)
<L>462<pc>0070,a<k1>aNka<k2>aNka(nka)
<L>493<pc>0071,b<k1>aNkowa<k2>aNkowa(Wa)
<L>505<pc>0075,a<k1>aNgaRa<k2>aNgaRa(na)
<L>575<pc>0081,a<k1>aNguri<k2>aNguri(rI)
<L>605<pc>0082,a<k1>aca<k2>aca(ancu)
<L>639<pc>0084,a<k1>acizRu<k2>acizRu(zwu)
<L>723<pc>0090,b<k1>ajAji<k2>ajAji(jI)
<L>741<pc>0091,b<k1>ajinapatrA<k2>ajinapatrA(trI)
<L>755<pc>0092,b<k1>ajEkapAda<k2>ajEkapAda(d)
<L>781<pc>0095,a<k1>aYjizWa<k2>aYjizWa(zRu)
<L>786<pc>0095,a<k1>awani<k2>awani(nI)
<L>787<pc>0095,a<k1>awaruza<k2>awaru(rU)za
<L>788<pc>0095,a<k1>awavi<k2>awavi(vI)
<L>811<pc>0096,a<k1>aRaka<k2>aRa(na)ka
<L>830<pc>0097,b<k1>aRqakoza<k2>aRqakoza(Sa)
<L>846<pc>0098,a<k1>ataptatanu<k2>ataptatanu(nU)
<L>889<pc>0100,a<k1>atitarAm<k2>atita(mA)rAm
<L>901<pc>0101,a<k1>atinu<k2>atinu(nO)
<L>905<pc>0101,a<k1>atipaTin<k2>atipa(Ta)Tin
<L>1010<pc>0106,b<k1>atisAra<k2>ati(tI)sAra
<L>1011<pc>0107,a<k1>atisArakin<k2>ati(tI)sArakin
<L>1080<pc>0110,a<k1>atyuktA<k2>atyuktA(kTA)
<L>1091<pc>0110,b<k1>atri<k2>atri(ttri)
<L>1214<pc>0120,a<k1>aDaHSayyA<k2>aDaH(DaSSa)SayyA
<L>1249<pc>0124,b<k1>aDastarAm<k2>aDastarA(mA)m
<L>1262<pc>0127,a<k1>aDikarmma<k2>aDikarmma(n)
<L>1298<pc>0131,b<k1>aDipuruza<k2>aDipu(pU)ruza
<L>1679<pc>0159,a<k1>anAmayitna<k2>anAmayitna,
<L>1699<pc>0160,a<k1>anAlocita<k2>anAloci(qi)ta
<L>1740<pc>0162,b<k1>animiza<k2>animi(me)za
<L>1787<pc>0170,b<k1>anukarza<k2>anukarza(Ra)
<L>2078<pc>0188,a<k1>anuSocita<k2>anuSo(Su)cita
<L>2178<pc>0194,b<k1>anEpuRa<k2>a(A)nEpuRa
<L>2179<pc>0194,b<k1>anESvaryya<k2>a(A)nESvaryya
<L>2235<pc>0199,b<k1>antarapuruza<k2>antarapu(pU)ruza
<L>2248<pc>0200,b<k1>antarAvedi<k2>antarAvedi(dI)
<L>2317<pc>0205,a<k1>antavAsin<k2>anta(nte)vAsin
<L>2323<pc>0205,b<k1>antasTA<k2>anta(nte)sTA
<L>2361<pc>0208,a<k1>andola<k2>a(A)ndola
<L>2552<pc>0222,b<k1>apagAram<k2>apagA(go)ram
<L>2779<pc>0238,a<k1>apazWura<k2>apazWura(la)
<L>2825<pc>0241,b<k1>apAMnaptriya<k2>apAMnaptri(ptrI)ya
<L>2833<pc>0241,b<k1>apAMSulA<k2>apAMSu(su)lA
<L>2899<pc>0246,a<k1>apigfhya<k2>apigf(grA)hya
<L>2967<pc>0257,a<k1>aponaptriya<k2>aponaptri(ptrI)ya
<L>3011<pc>0259,a<k1>apratikAra<k2>aprati(tI)kAra
<L>3157<pc>0270,a<k1>abuDya<k2>abu(bo)Dya
<L>3174<pc>0271,a<k1>abda<k2>a(vda)bda
<L>3192<pc>0273,a<k1>abBra<k2>abBra(Bra)
<L>3193<pc>0273,a<k1>abBraMliha<k2>abBraM(BraM)liha
<L>3194<pc>0273,a<k1>abBraka<k2>abBra(Bra)ka
<L>3195<pc>0273,b<k1>abBraNkaza<k2>abBra(Bra)Nkaza
<L>3196<pc>0273,b<k1>abBrapuzpa<k2>abBra(Bra)puzpa
<L>3197<pc>0273,b<k1>abBramAtaNga<k2>abBra(Bra)mAtaNga
<L>3198<pc>0273,b<k1>abBramu<k2>abBra(Bra)mu
<L>3199<pc>0273,b<k1>abBramuvallaBa<k2>abBra(Bra)muvallaBa
<L>3200<pc>0273,b<k1>abBraroham<k2>abBra(Bra)roham
<L>3201<pc>0273,b<k1>abBrotTa<k2>abBro(Bro)tTa
<L>3202<pc>0273,b<k1>abBri<k2>abBri(Bri)
<L>3203<pc>0273,b<k1>abBriya<k2>abBri(Bri)ya
<L>3266<pc>0285,a<k1>aBigUrtta<k2>aBigUrtta(rRRa)
<L>3307<pc>0288,b<k1>aBidipsu<k2>aBidi(Di)psu
<L>3336<pc>0292,a<k1>aBinavodBid<k2>aBinavodBid(da)
<L>3406<pc>0295,b<k1>aBimanTa<k2>aBi(Di)manTa
<L>3411<pc>0296,a<k1>aBimarSa<k2>aBimarSa(rza)
<L>3412<pc>0296,a<k1>aBimarSaka<k2>aBimarSa(rza)ka
<L>3413<pc>0296,a<k1>aBimarSana<k2>aBimarSana(rzaRa)
<L>3423<pc>0297,a<k1>aBimihya<k2>aBimi(me)hya
<L>3436<pc>0297,b<k1>aBiyugvan<k2>aBiyugva(jva)n
<L>3460<pc>0299,a<k1>aBilAza<k2>aBilAza(sa)
<L>3501<pc>0303,a<k1>aBiSApa<k2>aBi(BI)SApa
<L>3504<pc>0303,b<k1>aBiSrAva<k2>aBiSrA(Sra)va
<L>3511<pc>0303,b<k1>aBizAh<k2>aBi(BI)zAh
<L>3521<pc>0304,a<k1>aBizwi<k2>aBi(BI)zwi
<L>3523<pc>0304,b<k1>aBizyanda<k2>aBi (sya)zyanda
<L>3525<pc>0304,b<k1>aBizyandin<k2>aBizya(sya)ndin
<L>3577<pc>0308,a<k1>aBIru<k2>aBIru(lu)
<L>3718<pc>0314,b<k1>aByuza<k2>aByu(ByU)za
<L>3738<pc>0315,b<k1>aBrAtf<k2>aBrAtf(ka)
<L>3815<pc>0321,b<k1>amAmAsI<k2>amA (ma)mAsI
<L>3819<pc>0321,b<k1>amAvasI<k2>amA (vA)vasI
<L>3820<pc>0321,b<k1>amAvasyA<k2>amAva(vA)syA
<L>3827<pc>0322,a<k1>amitrasaha<k2>amitrasa (sA)ha
<L>3846<pc>0322,b<k1>amudryaYc<k2>amudryaYc(c)
<L>3847<pc>0322,b<k1>amumuyaYc<k2>amumuyaYc(c)
<L>3848<pc>0322,b<k1>amuvat<k2>amu(do)vat
<L>3851<pc>0323,a<k1>amuzyAyaRa<k2>a(A)muzyAyaRa
<L>3921<pc>0328,a<k1>ambarIza<k2>amba(ri)rIza
<L>3932<pc>0329,a<k1>ambikeya<k2>a(A)mbikeya
<L>3982<pc>0333,a<k1>amBaHsAra<k2>amBaH(mBassA)sAra
<L>3983<pc>0333,a<k1>amBaHsU<k2>amBaH(mBassU)sU
<L>3987<pc>0333,a<k1>amBojazaRqa<k2>amBoja(Ka)zaRqa
<L>4000<pc>0333,b<k1>amrAta<k2>amrA(mlA)ta
<L>4020<pc>0334,a<k1>amlalonikA<k2>amlaloni(Ri)kA
<L>4062<pc>0339,b<k1>ayanavalana<k2>ayana(ca)valana
<L>4126<pc>0347,a<k1>ayogula<k2>ayogula (qa)
<L>4156<pc>0349,b<k1>arawu<k2>arawu (lu)
<L>4174<pc>0350,b<k1>araRyacara<k2>araRya(Rye)cara
<L>4181<pc>0351,b<k1>araRyapati<k2>araRya(RyAnAm)pati
<L>4189<pc>0352,a<k1>araRyarudita<k2>araRya(Rye)rudita
<L>4250<pc>0356,a<k1>arigUrtta<k2>arigUrtta(rRa)
<L>4384<pc>0364,b<k1>arcivat<k2>arciva(ma)t
<L>4407<pc>0366,b<k1>arttagala<k2>a(A)rttagala
<L>4476<pc>0374,a<k1>arDakOqavika<k2>a(A)rDakOqavika
<L>4491<pc>0375,a<k1>ardDadrORika<k2>a(A)rdDadrORika
<L>4500<pc>0375,a<k1>ardDapAdika<k2>a(A)rdDapAdika
<L>4503<pc>0375,a<k1>ardDaprasTika<k2>a(A)rdDaprasTika
<L>4545<pc>0378,b<k1>arba<k2>arba(rva)
<L>4546<pc>0378,b<k1>arbuda<k2>arbu(rvu)da
<L>4571<pc>0380,b<k1>arSas<k2>arSa(rsa)s
<L>4642<pc>0410,b<k1>alAbU<k2>alA(bu)bU
<L>4767<pc>0418,b<k1>avagraha<k2>avagra(grA)ha
<L>4785<pc>0419,b<k1>avacUqa<k2>avacUqa(la)
<L>4862<pc>0428,b<k1>avaDra<k2>ava(ba)Dra
<L>4875<pc>0429,a<k1>avani<k2>avani(nI)
<L>4877<pc>0429,a<k1>avaninATa<k2>avani(nI)nATa
<L>4878<pc>0429,a<k1>avanipati<k2>avani(nI)pati
<L>4879<pc>0429,a<k1>avanIpAla<k2>ava(ni)nIpAla
<L>4884<pc>0429,b<k1>avantIbrahma<k2>ava(nti)ntIbrahma
<L>4885<pc>0429,b<k1>avantIsoma<k2>ava(nti)ntIsoma
<L>5012<pc>0444,b<k1>avaSIrza<k2>avaSIrza(ka)
<L>5089<pc>0448,a<k1>avahitTA<k2>ava(ba)hitTA
<L>5489<pc>0496,b<k1>aSri<k2>aSri(SrI)
<L>5490<pc>0496,b<k1>aSrI<k2>aSrI(ka)
<L>5613<pc>0516,a<k1>azAQA<k2>azAQA(qA)
<L>5626<pc>0517,b<k1>azwacatvAriMSat<k2>azwa(zwA)catvAriMSat
<L>5641<pc>0518,b<k1>azwapAd<k2>azwapAd(da)
<L>5925<pc>0558,a<k1>asUkzaRa<k2>asU(kza)kzaRa
<L>6057<pc>0572,a<k1>asraPalA<k2>asraPalA(lI)
<L>6096<pc>0575,a<k1>ahaHkara<k2>ahaH(haska)kara
<L>6097<pc>0575,a<k1>ahaHpati<k2>ahaH(harpa)pati
<L>6098<pc>0575,a<k1>ahaHSeza<k2>ahaH(haSSe)Seza
<L>6151<pc>0584,b<k1>ahituRqika<k2>a(A)hituRqika
<L>6161<pc>0585,a<k1>ahibuDna<k2>ahi(vu)buDna
<L>6173<pc>0585,a<k1>ahimeda<k2>ahimeda(ka)
<L>6228<pc>0588,a<k1>AkarzAdi<k2>AkarzA(zA)di
<L>6292<pc>0602,a<k1>AkOSala<k2>A(a)kOSala
<L>6321<pc>0603,a<k1>AkzEtrajYa<k2>A(a)kzEtrajYa
<L>6360<pc>0614,b<k1>Agatya<k2>Agatya(mya)
<L>6374<pc>0619,a<k1>Agamin<k2>Aga(gA)min
<L>6415<pc>0623,b<k1>AgrahAyaRika<k2>AgrahAya(Ra)Rika
<L>6445<pc>0625,a<k1>ANgurika<k2>ANguri(li)ka
<L>6511<pc>0640,a<k1>Ajanma<k2>Ajanma(na)
<L>6796<pc>0697,b<k1>AdipUruza<k2>Adi(pu)pUruza
<L>6999<pc>0732,b<k1>AnEpuRa<k2>A(a)nEpuRa
<L>7000<pc>0732,b<k1>AnESvaryya<k2>A(a)nESvaryya
<L>7007<pc>0733,a<k1>Antarikza<k2>Antari(rI)kza
<L>7180<pc>0758,b<k1>ABIrapalli<k2>ABIrapalli(llI)
<L>7227<pc>0765,a<k1>AmAtisAra<k2>AmAti(tI)sAra
<L>7292<pc>0770,b<k1>Ayati<k2>Ayati(tI)
<L>7380<pc>0800,b<k1>Arava<k2>Ara(rA)va
<L>7447<pc>0806,a<k1>Argayana<k2>Argaya(Ra)na
<L>7469<pc>0810,a<k1>Artni<k2>Artni(rtnI)
<L>7476<pc>0811,a<k1>ArdDakaMsika<k2>A(a)rdDakaMsika
<L>7556<pc>0824,a<k1>AlAbu<k2>AlAbu(bU)
<L>7626<pc>0828,b<k1>Avarhita<k2>Ava(ba)rhita
<L>7627<pc>0828,b<k1>AvalI<k2>Ava(li)lI
<L>7725<pc>0835,b<k1>ASAQa<k2>ASA(qa)Qa
<L>7726<pc>0835,b<k1>ASAQA<k2>ASAQA(qA)
<L>7772<pc>0839,a<k1>AScotana<k2>ASco(Scyo)tana
<L>8085<pc>0912,a<k1>ikzuvallI<k2>ikzuvallI(llarI)
<L>8103<pc>0913,a<k1>iNgila<k2>iNgi(qa)la
<L>8124<pc>0919,a<k1>iq<k2>iq(la)
<L>8125<pc>0920,a<k1>iqA<k2>iqA(lA)
<L>8186<pc>0930,a<k1>indi<k2>indi(ndI)
<L>8366<pc>0982,a<k1>ira<k2>ira--IrzAyAM
<L>8387<pc>0983,b<k1>ivAruSuktikA<k2>irvAru(lu)SuktikA
<L>8392<pc>0983,b<k1>ilA<k2>i(e)lA
<L>8534<pc>1010,b<k1>Ili<k2>Ili(lI)
<L>8661<pc>1064,a<k1>uccUqa<k2>uccUqa(la)
<L>8695<pc>1068,a<k1>ucCraya<k2>ucCra (cCrA)ya
<L>8705<pc>1069,a<k1>ujjayanI<k2>ujjaya(yi)nI
<L>8733<pc>1071,b<k1>uqupa<k2>uqu(qU)pa
<L>8734<pc>1072,a<k1>uqupati<k2>uqu(qU)pati
<L>8736<pc>1072,a<k1>uqumbara<k2>u(du)qumbara
<L>8745<pc>1072,b<k1>uqra<k2>u(o)qra
<L>8905<pc>1106,a<k1>uttarOzWa<k2>utta(ro)rOzWa
<L>8963<pc>1122,b<k1>utpalaSArivA<k2>utpalaSA(sA)rivA
<L>8983<pc>1128,a<k1>utpiYjara<k2>utpiYjara(la)
<L>9056<pc>1133,a<k1>udakIrRRa<k2>udakIrRRa(ryya)
<L>9238<pc>1176,b<k1>udyota<k2>u(ddyo)dyota
<L>9274<pc>1179,a<k1>udbAhu<k2>udbA(dvA)hu
<L>9309<pc>1184,a<k1>udraNka<k2>udraNka(Nga)
<L>9356<pc>1188,a<k1>undura<k2>undura(ru)
<L>9357<pc>1188,b<k1>udurakarRI<k2>udura(rU)karRI
<L>9460<pc>1201,a<k1>upakvaRa<k2>upakva(kvA)Ra
<L>9473<pc>1202,a<k1>upagamya<k2>upagamya(tya)
<L>9478<pc>1202,a<k1>upagira<k2>upagira(ri)
<L>9495<pc>1203,a<k1>upaca<k2>upaca(ja)
<L>9501<pc>1203,b<k1>upacarmma<k2>upacarmma(n)
<L>9560<pc>1209,a<k1>upadiS<k2>upadi(Sa)S
<L>9567<pc>1209,b<k1>upadfzada<k2>upadfzada(d)
<L>9603<pc>1214,a<k1>upanada<k2>upanada(di)
<L>9652<pc>1232,a<k1>upapOrRamAsa<k2>upapOrRamAsa(si)
<L>9815<pc>1332,b<k1>upasaMkramaRe<k2>upasaM(saNkra)kramaRe
